,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Paamiut,GL,61.994,-49.6678,20.75,87,100,7.96,light snow
159,Ukiah,US,39.1502,-123.2078,60.57,73,1,3.51,clear sky
160,Dwarka,IN,22.2394,68.9678,71.92,74,0,10.0,clear sky
161,Collie,AU,-33.3667,116.15,76.95,46,2,12.1,clear sky
162,Bengkulu,ID,-3.8004,102.2655,81.59,71,96,2.01,overcast clouds
163,Oranjemund,NA,-28.55,16.4333,65.82,93,97,11.68,overcast clouds
164,Touros,BR,-5.1989,-35.4608,76.1,81,91,13.82,overcast clouds
165,Revda,RU,56.801,59.9303,-4.88,100,99,3.42,overcast clouds
166,Lata,PT,40.1629,-8.3327,40.08,69,0,4.0,clear sky
167,Wanaka,NZ,-44.7,169.15,56.1,90,100,3.13,heavy intensity rain
168,Mount Gambier,AU,-37.8333,140.7667,66.11,68,100,13.8,overcast clouds
169,Husavik,IS,66.0449,-17.3389,31.91,78,9,14.9,clear sky
170,Samana,DO,19.2056,-69.3369,73.36,88,22,13.22,few clouds
171,Puerto Leguizamo,CO,-0.1934,-74.7819,75.54,85,97,2.82,overcast clouds
172,Alofi,NU,-19.0595,-169.9187,85.89,74,100,8.05,overcast clouds
173,Kampene,CD,-3.6,26.6667,64.69,99,100,2.68,overcast clouds
174,Paita,PE,-5.0892,-81.1144,74.93,77,93,5.1,overcast clouds
175,Minsk,BY,53.9,27.5667,28.15,92,98,6.73,overcast clouds
176,Katsuura,JP,35.1333,140.3,51.91,32,81,14.29,broken clouds
177,Dillon,US,34.4166,-79.3712,73.38,63,0,11.63,clear sky
178,Trinidad,BO,-14.8333,-64.9,74.93,96,99,6.24,overcast clouds
179,Rosetta,EG,31.4044,30.4164,57.02,81,3,6.17,clear sky
180,Bahia Blanca,AR,-38.7196,-62.2724,65.03,71,100,6.22,light rain
181,Buchanan,LR,5.8808,-10.0467,78.76,89,20,4.05,few clouds
182,Hilo,US,19.7297,-155.09,78.53,69,100,9.22,overcast clouds
183,Japura,ID,-0.3167,102.35,81.5,77,96,3.2,overcast clouds
184,Galdar,ES,28.147,-15.6502,60.35,75,61,12.64,broken clouds
185,Salalah,OM,17.0151,54.0924,71.69,78,0,4.61,clear sky
186,Lebu,CL,-37.6167,-73.65,57.15,90,43,6.22,scattered clouds
187,Fairbanks,US,64.8378,-147.7164,29.1,69,100,10.36,overcast clouds
188,Waipawa,NZ,-41.4122,175.5153,62.46,88,99,11.77,overcast clouds
189,Hambantota,LK,6.1241,81.1185,75.54,100,20,2.3,few clouds
190,Gwadar,PK,25.1216,62.3254,72.39,83,100,3.22,overcast clouds
191,Aklavik,CA,68.2191,-135.0107,18.43,86,99,22.06,overcast clouds
192,Verkhoyansk,RU,67.5447,133.385,-19.32,93,97,2.82,overcast clouds
193,Sao Francisco,BR,-15.9486,-44.8644,69.17,75,11,4.27,light rain
194,Harper,LR,4.375,-7.7169,79.68,86,15,6.02,few clouds
195,La Union,PE,-5.4,-80.75,76.21,68,98,4.45,overcast clouds
196,Newport,GB,51.5877,-2.9984,40.24,77,10,1.01,clear sky
197,Smithers,CA,54.7804,-127.1743,50.32,32,20,11.5,few clouds
198,Chokurdakh,RU,70.6333,147.9167,-16.46,99,89,2.28,overcast clouds
199,Airai,TL,-8.9266,125.4092,75.38,52,100,1.41,overcast clouds
200,Port Hardy,CA,50.6996,-127.4199,50.76,76,75,11.5,broken clouds
201,Katherine,AU,-14.4667,132.2667,88.12,66,100,5.75,overcast clouds
202,Skibbereen,IE,51.55,-9.2667,45.1,66,99,13.94,overcast clouds
203,Kaitangata,NZ,-46.2817,169.8464,51.64,77,100,10.89,light rain
204,Iqaluit,CA,63.7506,-68.5145,-21.69,92,13,6.53,few clouds
205,Kachhwa,IN,25.2167,82.7167,58.98,31,35,2.91,scattered clouds
206,Batticaloa,LK,7.7102,81.6924,78.62,79,29,1.03,scattered clouds
207,Fortuna,US,40.5982,-124.1573,55.18,84,0,11.5,clear sky
208,Tessalit,ML,20.1986,1.0114,66.72,10,0,9.4,clear sky
209,Junagarh,IN,19.8667,82.9333,73.17,32,0,1.05,clear sky
210,Laguna,US,38.421,-121.4238,64.69,27,0,9.22,clear sky
211,Mogadishu,SO,2.0371,45.3438,78.04,79,65,15.59,broken clouds
212,Pacific Grove,US,36.6177,-121.9166,59.4,79,40,9.22,scattered clouds
213,Amga,RU,60.8953,131.9608,5.95,89,100,1.5,overcast clouds
214,Dunedin,NZ,-45.8742,170.5036,54.81,76,100,8.01,light rain
215,San Vicente,AR,-26.6167,-54.1333,71.89,77,56,2.48,broken clouds
216,Qandala,SO,11.472,49.8728,72.97,65,78,5.32,broken clouds
217,Harstad,NO,68.799,16.5293,34.99,100,100,5.99,overcast clouds
218,Ulaangom,MN,49.9811,92.0667,4.73,89,100,2.13,overcast clouds
219,Milazzo,IT,38.2212,15.2383,51.26,75,99,5.99,overcast clouds
220,Magadan,RU,59.5667,150.8,11.53,67,27,6.35,scattered clouds
221,Mwense,ZM,-10.3845,28.698,66.67,93,100,2.19,overcast clouds
222,Butterworth,MY,5.3991,100.3638,80.64,93,20,4.61,few clouds
223,Hegra,NO,63.4644,11.114,39.11,87,75,14.97,light rain
224,Nelson,NZ,-41.2833,173.2833,75.79,70,81,6.76,broken clouds
225,Hasaki,JP,35.7333,140.8333,48.6,37,6,10.29,clear sky
226,Pevek,RU,69.7008,170.3133,-19.48,94,83,0.34,broken clouds
227,San Cristobal,VE,7.7669,-72.225,68.18,87,98,3.27,overcast clouds
228,Ponta Do Sol,PT,32.6667,-17.1,59.63,65,83,1.36,broken clouds
229,Sioux Lookout,CA,50.1001,-91.917,23.38,80,75,6.91,broken clouds
230,Guaitarilla,CO,1.1386,-77.553,50.88,98,100,1.77,light rain
231,Kazachinskoye,RU,57.6953,93.2761,32.99,99,100,7.52,snow
232,Nassjo,SE,57.6531,14.6968,29.32,71,20,8.08,few clouds
233,Pine Bluff,US,34.2284,-92.0032,77.07,64,100,13.8,overcast clouds
234,Chany,RU,55.3121,76.7647,31.06,94,100,19.55,overcast clouds
235,Teluk Nibung,ID,3.001,99.8164,80.15,85,92,5.23,overcast clouds
236,Te Anau,NZ,-45.4167,167.7167,49.06,97,100,1.19,overcast clouds
237,Pala,TD,9.3642,14.9046,84.52,20,84,3.69,broken clouds
238,Srandakan,ID,-7.9386,110.2506,81.66,78,65,4.9,broken clouds
239,Sorland,NO,67.667,12.6934,37.76,98,100,28.21,light rain
240,Saskylakh,RU,71.9167,114.0833,-8.64,98,100,1.66,overcast clouds
241,Sambava,MG,-14.2667,50.1667,73.71,88,35,4.92,scattered clouds
242,Palmer,US,42.1584,-72.3287,61.75,78,40,16.11,scattered clouds
243,Lincoln,US,40.8,-96.667,29.64,70,100,21.85,overcast clouds
244,Brae,GB,60.3964,-1.353,42.71,73,100,18.66,overcast clouds
245,Narsaq,GL,60.9167,-46.05,17.82,96,100,3.56,overcast clouds
246,Henties Bay,NA,-22.116,14.2845,60.85,88,1,4.43,clear sky
247,Chuy,UY,-33.6971,-53.4616,70.11,92,95,5.53,overcast clouds
248,Jumla,NP,29.2747,82.1838,46.9,35,100,3.62,overcast clouds
249,Okha,RU,53.5739,142.9478,17.22,88,100,6.73,overcast clouds
250,Ardabil,IR,38.2498,48.2933,27.95,100,100,21.85,light snow
251,Rawson,AR,-43.3002,-65.1023,68.07,41,69,6.17,broken clouds
252,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,100,16.08,light rain
253,Diepholz,DE,52.6,8.3667,32.58,85,9,3.24,clear sky
254,Encruzilhada,BR,-15.5314,-40.9094,66.96,97,97,5.14,overcast clouds
255,Santa Cruz,BO,-17.8,-63.1667,80.06,83,75,4.61,broken clouds
256,Kaseda,JP,31.4167,130.3167,45.63,63,100,5.84,overcast clouds
