City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
254,Encruzilhada,BR,66.96,overcast clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
255,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
265,Isla Mujeres,MX,78.85,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
266,Chimbote,PE,72.14,overcast clouds,-9.0853,-78.5783,Hotel Briliá
268,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
269,Mercedes,AR,73.78,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
270,Fare,PF,81.57,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
271,Bilma,NE,83.44,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
273,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
275,Ko Samui,TH,84.11,few clouds,9.5357,99.9357,The Passage
277,Arcelia,MX,82.76,clear sky,18.2833,-100.2667,C. GENERAL NAVOR MENDOZA
279,East London,ZA,74.82,overcast clouds,-33.0153,27.9116,Tu Casa
280,Hualmay,PE,72.73,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
281,Samarai,PG,86.52,scattered clouds,-10.6167,150.6667,Nuli Sapi
283,Gawler,AU,75.97,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
288,Pisco,PE,73.45,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
290,Wonthaggi,AU,79.38,overcast clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
291,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
292,Kruisfontein,ZA,71.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
293,Pailon,BO,81.5,scattered clouds,-17.65,-62.75,Alojamiento pailon
294,Axim,GH,78.67,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
298,Ambilobe,MG,71.22,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
299,Miramar,US,77.04,overcast clouds,25.9873,-80.2323,Stadium Hotel
300,Pointe Michel,DM,77.31,clear sky,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
301,Diego De Almagro,CL,65.82,clear sky,-26.3667,-70.05,hotel luna del desierto
309,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
310,Omboue,GA,79.05,overcast clouds,-1.5746,9.2618,Hotel Olako
312,Ahipara,NZ,75.16,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
314,Sinnamary,GF,75.06,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
315,Pemangkat,ID,79.02,overcast clouds,1.1667,108.9667,Ramah Kost KITA
317,Hervey Bay,AU,83.03,moderate rain,-25.2986,152.8535,Shelly Bay Resort
318,Tutoia,BR,74.95,overcast clouds,-2.7619,-42.2744,Pousada Guará's
320,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
323,Sola,VU,83.41,few clouds,-13.8833,167.55,Leumerus Bungalows
324,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
326,Sao Lourenco Do Sul,BR,75.25,overcast clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
328,Mandera,KE,76.32,scattered clouds,3.9366,41.867,Hiren Hotel Mandera
332,Camargo,MX,70.36,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
339,Guerrero,MX,66.45,clear sky,17.6667,-100.0,Villaxochilt
340,Lhokseumawe,ID,79.97,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
342,Maunabo,PR,76.69,broken clouds,18.0072,-65.8993,Maunacaribe
343,Bartica,GY,75.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
345,Rafaela,AR,76.05,few clouds,-31.2503,-61.4867,Parra Hotel & Suites
346,Faanui,PF,81.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
347,Laem Sing,TH,89.08,clear sky,12.4816,102.0738,Laemsing Whitehouse Resort
350,Quelimane,MZ,76.95,light intensity drizzle,-17.8786,36.8883,Hotel Flamingo
351,Tagusao,PH,80.89,overcast clouds,9.1924,117.8141,Green Villa beach resort
352,Maldonado,UY,69.22,overcast clouds,-34.6667,-54.9167,La Cimarrona
354,Port Shepstone,ZA,72.43,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
357,Weligama,LK,77.23,overcast clouds,5.9667,80.4167,Weligama Bay Resort
358,Tiruchchendur,IN,79.09,overcast clouds,8.4833,78.1167,Hotel Udhayam International
359,Vanimo,PG,83.28,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
360,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
369,Ouro Preto Do Oeste,BR,71.56,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
370,Paracuru,BR,78.12,heavy intensity rain,-3.41,-39.0306,Hotel Vento Brasil
376,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
378,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
381,Dover,US,71.01,few clouds,39.1582,-75.5244,Bally's Dover Casino Resort
382,Nabire,ID,86.7,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
383,Namatanai,PG,84.33,light rain,-3.6667,152.4333,Seagulls Inn Namatani
384,Pakokku,MM,77.63,overcast clouds,21.3333,95.1,Royal Palace Motel
386,High Rock,BS,73.42,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
392,Kalmunai,LK,77.63,scattered clouds,7.4167,81.8167,VS Villa
394,San Miguel,SV,83.86,clear sky,13.4833,-88.1833,Excalibur
403,Hobyo,SO,76.59,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
404,West Plains,US,65.88,overcast clouds,36.7281,-91.8524,West Plains Motel
405,Monrovia,LR,78.57,few clouds,6.3005,-10.7969,Sunset Inn
407,Trairi,BR,75.52,heavy intensity rain,-3.2778,-39.2689,janelas do mar
408,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
409,Malabang,PH,83.68,overcast clouds,7.5903,124.0703,Brgy. Matalin Swimming Pool
410,Caraballeda,VE,80.67,few clouds,10.6112,-66.8522,Hotel 15 Letras
412,Marawi,PH,70.65,overcast clouds,7.9986,124.2928,Derogongan Residence
413,Ipixuna,BR,73.35,overcast clouds,-1.7625,-48.8043,Chalé do Mato
415,Yenagoa,NG,78.55,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
419,Tulagi,SB,83.98,scattered clouds,-9.0996,160.1476,Raiders Hotel & Dive
425,Viedma,AR,69.39,overcast clouds,-40.8135,-62.9967,Hotel Cristal
426,Riyadh,SA,73.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
428,Vilhena,BR,71.82,broken clouds,-12.7406,-60.1458,Hotel Mirage
429,Maypangdan,PH,78.96,heavy intensity rain,11.6519,125.4503,GV Hotel Borongan
430,Guiratinga,BR,70.45,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
431,Paso De Los Toros,UY,71.55,overcast clouds,-32.8167,-56.5167,Complejo Isabelino
433,Komatipoort,ZA,74.05,scattered clouds,-25.4332,31.9548,Kruger View Backpackers
438,Jacmel,HT,78.64,broken clouds,18.2342,-72.5347,Historic Hotel Florita
444,Biak,ID,79.47,overcast clouds,-0.9131,122.8766,Penginapan Kim
446,Murray Bridge,AU,78.69,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
447,Andapa,MG,68.68,broken clouds,-14.65,49.65,Ramanandraibe Andapa
451,Clifton,US,69.84,clear sky,40.8584,-74.1638,Quality Urban Housing
455,Kathu,TH,86.76,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
459,Amuntai,ID,77.68,light rain,-2.4177,115.2494,Hotel Balqis
460,Alugan,PH,79.2,heavy intensity rain,12.2188,125.4808,JM Lodge
461,Puerto Escondido,MX,79.43,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
466,Kalawit,PH,81.25,heavy intensity rain,8.0667,122.5167,Ompoy Pension House
470,Cuamba,MZ,67.57,overcast clouds,-14.8031,36.5372,Hotel Vision
472,Esna,EG,71.62,broken clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
473,Rantauprapat,ID,79.97,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
478,Cape Coast,GH,79.27,overcast clouds,5.1053,-1.2466,Samrit Hotel
480,Mount Pleasant,US,69.98,mist,32.7941,-79.8626,Best Western Patriots Point
481,Sao Jose Da Coroa Grande,BR,79.25,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
484,Burnie,AU,67.91,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
487,San Patricio,US,75.88,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
493,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
498,Labuhan,ID,85.08,overcast clouds,-6.8844,112.2051,DoubleFAG
505,Pochutla,MX,80.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
506,Murupara,NZ,78.42,scattered clouds,-38.4667,176.7,Murupara Motor Camp
507,Vaitape,PF,81.7,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
509,Nanakuli,US,81.03,clear sky,21.3906,-158.1547,Camp Pālehua
512,Makakilo City,US,79.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
517,Sur,OM,75.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
